PALLET_ID;ROLL_WIDTH;ROLL_LENGTH;CODE_1C;ROLL_NUMBER
00320000002200734906;175;1000;203;00320000000953262578
00320000002200734906;225;1000;203;00320000000953262585
00320000002200734906;260;1000;203;00320000000953262592
00320000002200734609;130;1900;203;00320000000953255556
00320000002200733817;175;1900;203;00320000000953255563
00320000002200733817;175;1900;203;00320000000953255570
00320000002200733817;175;1900;203;00320000000953255587
00320000002200733817;175;1900;203;00320000000953255594
00320000002200733817;175;1900;203;00320000000953255600
00320000002200733817;175;1900;203;00320000000953255617
00320000002200733817;175;1900;203;00320000000953255624
00320000002200733817;175;1900;203;00320000000953255631
00320000002200734609;230;1950;203;00320000000953254160
00320000002200734609;220;1960;203;00320000000953257956
00320000002200734609;120;1970;203;00320000000953256119
00320000002200734609;155;1970;203;00320000000953256126
00320000002200734609;155;1970;203;00320000000953256133
00320000002200734609;220;1970;203;00320000000953256140
00320000002200734609;220;1970;203;00320000000953256157
00320000002200734609;220;1970;203;00320000000953256171
00320000002200734609;220;1970;203;00320000000953256188
00320000002200734906;175;1990;203;00320000000953265456
00320000002200734906;260;1990;203;00320000000953265234
00320000002200734609;130;2000;203;00320000000953255020
00320000002200733787;175;2000;203;00320000000953255037
00320000002200733787;175;2000;203;00320000000953255044
00320000002200733787;175;2000;203;00320000000953255051
00320000002200733787;175;2000;203;00320000000953255068
00320000002200733787;175;2000;203;00320000000953255075
00320000002200733787;175;2000;203;00320000000953255082
00320000002200733787;175;2000;203;00320000000953255099
00320000002200733787;175;2000;203;00320000000953255105
00320000002200734609;230;2000;203;00320000000953254467
00320000002200733725;260;2000;203;00320000000953254177
00320000002200733725;260;2000;203;00320000000953254184
00320000002200733725;260;2000;203;00320000000953254191
00320000002200733725;260;2000;203;00320000000953254207
00320000002200733725;260;2000;203;00320000000953254214
00320000002200733725;260;2000;203;00320000000953254474
00320000002200733725;260;2000;203;00320000000953254481
00320000002200733725;260;2000;203;00320000000953254498
00320000002200733725;260;2000;203;00320000000953254504
00320000002200733725;260;2000;203;00320000000953254511
00320000002200734609;130;2150;203;00320000000953255464
00320000002200733787;175;2150;203;00320000000953255471
00320000002200733817;175;2150;203;00320000000953255488
00320000002200733787;175;2150;203;00320000000953255495
00320000002200733817;175;2150;203;00320000000953255501
00320000002200733787;175;2150;203;00320000000953255518
00320000002200733817;175;2150;203;00320000000953255525
00320000002200733787;175;2150;203;00320000000953255532
00320000002200733817;175;2150;203;00320000000953255549
